teacher_n_estimators,n_rep,AUC_mean,AUC_ci95,SHAP_R2_mean,SHAP_R2_ci95,DP_gap_mean,DP_gap_ci95,mean_score_gap_mean,mean_score_gap_ci95,EO_gap_mean,EO_gap_ci95,EOdds_gap_mean,EOdds_gap_ci95,grad_norm_mean_mean,grad_norm_mean_ci95,grad_norm_max_mean,grad_norm_max_ci95,p99_latency_ms_mean,p99_latency_ms_ci95,masked_batch_frac_mean,masked_batch_frac_ci95,train_seconds_mean,train_seconds_ci95
50,5,0.7837857142857143,0.008825593298544784,0.4210525810718536,0.031475738107344955,0.11271477663230234,0.028044840439515748,0.08953284919261931,0.0797391046737398,0.42372881355932196,0.04209030502385647,0.42372881355932196,0.04209030502385647,2.1047925362023587,0.09613276655012566,23.010535675711342,3.4811620607229914,0.16563933585348414,0.02620620512684751,0.2564444444444444,0.0037971075483941427,3.119888925552368,0.04409505933215531
100,5,0.7866666666666666,0.017480900536533568,0.4772371232509613,0.011950279470218768,0.12955326460481098,0.08281498168289676,0.08984758853912352,0.0648304217389602,0.46440677966101696,0.07380820323161198,0.46440677966101696,0.07380820323161198,2.13307398734118,0.06200138233064263,26.270768077414584,2.930155195535218,0.19555578609924823,0.045274224866845535,0.2564444444444444,0.0037971075483941427,3.3621848106384276,0.33178487184559635
200,5,0.7927976190476191,0.009864233436181015,0.48205660581588744,0.008672619950427752,0.17113402061855668,0.1414892774000304,0.08850294649600979,0.08901359003456803,0.5186440677966101,0.13442565426812345,0.5186440677966101,0.13442565426812345,2.180846315372052,0.08047827430670933,27.880875688342933,5.276048425205164,0.21663083006842482,0.1308742359540377,0.2564444444444444,0.0037971075483941427,3.1500189304351807,0.055451282040019846
