minority_fraction,n_rep,AUC_mean,AUC_ci95,SHAP_R2_mean,SHAP_R2_ci95,DP_gap_mean,DP_gap_ci95,mean_score_gap_mean,mean_score_gap_ci95,EO_gap_mean,EO_gap_ci95,EOdds_gap_mean,EOdds_gap_ci95,grad_norm_mean_mean,grad_norm_mean_ci95,grad_norm_max_mean,grad_norm_max_ci95,p99_latency_ms_mean,p99_latency_ms_ci95,masked_batch_frac_mean,masked_batch_frac_ci95,train_seconds_mean,train_seconds_ci95
0.01,3,0.743289102801758,0.019232516698192682,0.4971309204896291,0.052058955541237274,0.08048684586735416,0.019584312616316563,0.020280505220095266,0.012914649145551063,0.25553566452206994,0.05973515917098739,0.25553566452206994,0.05973515917098739,0.721093248237635,0.02127406735652684,2.224356311335915,1.4735885698076592,0.20841558643345096,0.010328545088672366,0.436996336996337,0.00833974293087845,6.452652374903361,0.031212993767746305
0.03,3,0.7329118900052373,0.039666446199447716,0.505027691523234,0.011413656052498208,0.075705116428895,0.02533049980411099,0.012679000695546401,0.02222206683205834,0.24887090618298127,0.07087424313651065,0.24887090618298127,0.07087424313651065,0.7122301629048962,0.034701439958056,1.3849414242677314,0.3846684432736017,0.20626544993926163,0.0017076988891101094,0.0012820512820512,0.002084935732719583,6.4056313037872314,0.1713803720923264
0.05,3,0.7511757780766151,0.01152909136971623,0.5217394431432089,0.03556175308048197,0.08417794139273053,0.02448870590154685,0.0085475792487462,0.0035040434555714474,0.2732013255303939,0.06204722969009962,0.2732013255303939,0.06204722969009962,0.669650597704634,0.01860241205958847,2.1708441898650412,2.3148126762895878,0.19259514000016972,0.06515775779873592,0.0135802469135802,0.0027360555621578552,6.539349794387817,0.037400325552114845
0.1,3,0.7642457784039779,0.007562184458597281,0.5594138105710348,0.02550747975911206,0.076893862696044,0.004202552146691034,0.006705770889917933,0.014790806622139928,0.2470284613427356,0.01360895577389118,0.2470284613427356,0.01360895577389118,0.6085601040490279,0.011419440059412155,0.7968190462372272,0.04702371828403435,0.21398102968608626,0.03585967946330365,0.0,0.0,6.910920937856038,0.08028240685069975
,3,0.7684124511179871,0.0019523603354987438,0.6554257671038309,0.008891107836806772,0.026360860069136034,0.012884912110485949,0.006624648968378634,0.0115885835319129,0.05177777373898917,0.04517594332834326,0.05177777373898917,0.04517594332834326,0.5597241692994364,0.01328441384191683,0.7902545931943025,0.28849835213359803,0.21313727347963626,0.0240182731967158,0.0,0.0,11.819350163141886,0.5797486690158132
