dataset,seed,teacher_n_estimators,teacher_max_depth,teacher_learning_rate,lambda_fair,batch_size,epochs,lr,minority_fraction,penalty,label,AUC,SHAP_R2,DP_gap,mean_score_gap,EO_gap,TPR_g1,TPR_g0,EOdds_gap,dTPR,dFPR,grad_norm_mean,grad_norm_max,diverged,masked_batch_frac,n_train,p99_latency_ms,mean_latency_ms,train_seconds,teacher_AUC,sid
creditcard,42,100,4,0.1,0.0,512,70,0.001,,dp,OFAT:lambda_fair=0.0,0.7651489557207135,0.6559286117553711,0.0408069171221031,0.0387141704559326,0.0896436879793536,0.4100609756097561,0.3204172876304024,0.0896436879793536,0.0896436879793536,0.0156108576380996,0.5315290789030538,0.8987302378468252,False,0.0,24000,0.2131565798208611,0.1227844369759623,12.078675508499146,0.7777540363592031,0
creditcard,43,100,4,0.1,0.0,512,70,0.001,,dp,OFAT:lambda_fair=0.0,0.768634724550001,0.6496376991271973,0.0325522934377361,0.0335957258939743,0.0611232779615426,0.4009146341463415,0.3397913561847988,0.0611232779615426,0.0611232779615426,0.0129395046465945,0.5261132100199304,0.7577250249442202,False,0.0,24000,0.2192459200887242,0.1222492480137589,12.145437002182009,0.7777540363592031,1
creditcard,44,100,4,0.1,0.0,512,70,0.001,,dp,OFAT:lambda_fair=0.0,0.7669978298909979,0.6662603616714478,0.0385865384486447,0.0392481386661529,0.077653029697212,0.4070121951219512,0.3293591654247392,0.077653029697212,0.077653029697212,0.0160830011697332,0.5276439522405674,0.6849010374066528,False,0.0,24000,0.2827275001800443,0.1297098249960981,12.536747455596924,0.7777540363592031,2
creditcard,42,100,4,0.1,0.5,512,70,0.001,,dp,OFAT:lambda_fair=0.5,0.7691782596909469,0.6549040675163269,0.0279372134571709,0.0092907696962356,0.051602086438152,0.375,0.323397913561848,0.051602086438152,0.051602086438152,0.0103241436277254,0.531241315816522,0.839175086120428,False,0.0,24000,0.4664588300784088,0.1384548889982397,13.218183517456056,0.7777540363592031,3
creditcard,43,100,4,0.1,0.5,512,70,0.001,,dp,OFAT:lambda_fair=0.5,0.7668844623775474,0.651431143283844,0.0261139775016527,0.0047650039196014,0.0534331721856711,0.3902439024390244,0.3368107302533532,0.0534331721856711,0.0534331721856711,0.0070439010328024,0.5272532207948861,0.7231225878824625,False,0.0,24000,0.1269617497837316,0.1145234229779816,11.772189140319824,0.7777540363592031,4
creditcard,44,100,4,0.1,0.5,512,70,0.001,,dp,OFAT:lambda_fair=0.5,0.7682963152655404,0.6643619537353516,0.0240589818396043,0.0100746899843215,0.0532287085165933,0.3810975609756097,0.3278688524590163,0.0532287085165933,0.0532287085165933,0.0047639374737826,0.5303182317986991,0.8622526264206957,False,0.0,24000,0.2635913396534306,0.1263977079952383,12.157928943634031,0.7777540363592031,5
creditcard,42,100,4,0.1,1.0,512,70,0.001,,dp,OFAT:lambda_fair=1.0,0.76508703093385,0.6601375937461853,0.0242174366437797,0.0112580060958862,0.0518406273854094,0.3856707317073171,0.3338301043219076,0.0518406273854094,0.0518406273854094,0.0050621917438635,0.53776416946101,0.953335429823824,False,0.0,24000,0.1951766696674894,0.1224019259925626,12.502903938293455,0.7777540363592031,6
creditcard,43,100,4,0.1,1.0,512,70,0.001,,dp,OFAT:lambda_fair=1.0,0.7680427300380853,0.6578636169433594,0.0251038001887154,0.0064005404710769,0.0562774890043982,0.3841463414634146,0.3278688524590163,0.0562774890043982,0.0562774890043982,0.004969056581459,0.5302594893326488,0.7280987030274505,False,0.0,24000,0.1961686595586798,0.1228284600019833,12.127979755401611,0.7777540363592031,7
creditcard,44,100,4,0.1,1.0,512,70,0.001,,dp,OFAT:lambda_fair=1.0,0.7723604519283847,0.6577686071395874,0.0230052238682549,0.0067724734544754,0.0333094035113227,0.3567073170731707,0.323397913561848,0.0333094035113227,0.0333094035113227,0.0093550944379459,0.532924141210927,0.6791764451736509,False,0.0,24000,0.2079336598944791,0.1237873730224237,12.179694890975952,0.7777540363592031,8
creditcard,42,100,4,0.1,2.5,512,70,0.001,,dp,OFAT:lambda_fair=2.5,0.7685399828513493,0.6543967127799988,0.0300040541186851,0.0057208985090255,0.0644015121224237,0.3475609756097561,0.2831594634873323,0.0644015121224237,0.0644015121224237,0.0101007301131481,0.5649680905948227,0.9065264059889214,False,0.0,24000,0.2112612505698052,0.1220531280050636,12.11930012702942,0.7777540363592031,9
