batch_size,n_rep,AUC_mean,AUC_ci95,SHAP_R2_mean,SHAP_R2_ci95,DP_gap_mean,DP_gap_ci95,mean_score_gap_mean,mean_score_gap_ci95,EO_gap_mean,EO_gap_ci95,EOdds_gap_mean,EOdds_gap_ci95,grad_norm_mean_mean,grad_norm_mean_ci95,grad_norm_max_mean,grad_norm_max_ci95,p99_latency_ms_mean,p99_latency_ms_ci95,masked_batch_frac_mean,masked_batch_frac_ci95,train_seconds_mean,train_seconds_ci95
64,5,0.8005595238095238,0.0196760386349668,0.4941433727741241,0.019758408923944797,0.1003436426116838,0.034585478195120214,0.10849689841270445,0.035614620174062625,0.43728813559322033,0.06554475500929192,0.43728813559322033,0.06554475500929192,8.331183978049394,0.2450093850688063,154.76149474669597,24.46350852405625,0.16572673600421667,0.03467791158524973,0.9149401709401708,0.005123986708083263,5.901392602920533,0.12599586643718583
256,5,0.7866666666666666,0.017480900536533568,0.4772371232509613,0.011950279470218768,0.12955326460481098,0.08281498168289676,0.08984758853912352,0.0648304217389602,0.46440677966101696,0.07380820323161198,0.46440677966101696,0.07380820323161198,2.13307398734118,0.06200138233064263,26.270768077414584,2.930155195535218,0.15384014795381512,0.02953068053890001,0.2564444444444444,0.0037971075483941427,3.2282790184020995,0.05900838097308686
512,5,0.7863452380952382,0.01586846458619825,0.49043025374412536,0.010920329034410372,0.15979381443298962,0.13366835248061046,0.07768131494522088,0.036435383203483926,0.5254237288135594,0.08285484829435122,0.5254237288135594,0.08285484829435122,1.401694706004154,0.056169876006509606,2.5188731960791144,0.2551942070481852,0.18851397003345446,0.03825902986253275,0.00177777777777776,0.0015730164188691787,2.659546709060669,0.10285868253831645
1024,5,0.790642857142857,0.014871829756255242,0.46560288071632383,0.016302996263835023,0.1075601374570446,0.03546267948126909,0.06459697186946867,0.03868733872613285,0.43728813559322033,0.03764671329081766,0.43728813559322033,0.03764671329081766,1.122171368555873,0.032699402970198306,1.8043799977760422,0.12527118621242578,0.16009416395354478,0.04164911760358452,0.0,0.0,2.2370330333709716,0.030737089376403796
