dataset,seed,teacher_n_estimators,teacher_max_depth,teacher_learning_rate,lambda_fair,batch_size,epochs,lr,minority_fraction,penalty,label,AUC,SHAP_R2,DP_gap,mean_score_gap,EO_gap,TPR_g1,TPR_g0,EOdds_gap,dTPR,dFPR,grad_norm_mean,grad_norm_max,diverged,masked_batch_frac,n_train,p99_latency_ms,mean_latency_ms,train_seconds,teacher_AUC,sid
bank,42,100,4,0.1,0.0,512,60,0.001,,dp,OFAT:lambda_fair=0.0,0.9249958866636758,0.7446709871292114,0.3213641086782829,0.3146733865141868,0.1333539330802507,0.6063829787234043,0.4730290456431535,0.2156844783715013,0.1333539330802507,0.2156844783715013,0.8407535131908201,2.676915475028319,False,0.0023474178403755,36168,0.2079428299020946,0.1221789549990717,14.556418895721436,0.928567327917539,0
bank,43,100,4,0.1,0.0,512,60,0.001,,dp,OFAT:lambda_fair=0.0,0.9254284676017058,0.717574954032898,0.2675093249212401,0.3158211782574653,0.0443630263971042,0.5319148936170213,0.487551867219917,0.1813944020356234,0.0443630263971042,0.1813944020356234,0.809337729733269,2.298445577315185,False,0.0032863849765258,36168,0.1935304200196696,0.1192604240031869,14.428539752960203,0.928567327917539,1
bank,44,100,4,0.1,0.0,512,60,0.001,,dp,OFAT:lambda_fair=0.0,0.9277765612034852,0.7234958410263062,0.3863772318748784,0.330679103732109,0.1769665401253642,0.6914893617021277,0.5145228215767634,0.2757404580152672,0.1769665401253642,0.2757404580152672,0.8289249247495767,3.1329436228166445,False,0.0018779342723004,36168,0.2012134194592363,0.1199527239850795,14.612294912338257,0.928567327917539,2
bank,42,100,4,0.1,0.5,512,60,0.001,,dp,OFAT:lambda_fair=0.5,0.9149861566997668,0.7268695831298828,0.0785026929461783,0.0033882856369018,0.4647302904564315,0.0,0.4647302904564315,0.4647302904564315,0.4647302904564315,0.0282595419847328,0.8162200759321516,6.5417145679655775,False,0.0023474178403755,36168,0.1971369998500448,0.1193724970071343,14.535908460617064,0.928567327917539,3
bank,43,100,4,0.1,0.5,512,60,0.001,,dp,OFAT:lambda_fair=0.5,0.9193752937040504,0.7234349250793457,0.0823227023021481,0.0203380435705184,0.5059592125011037,0.0106382978723404,0.516597510373444,0.5059592125011037,0.5059592125011037,0.0313129770992366,0.8362274074029354,2.5516291505797466,False,0.0032863849765258,36168,0.2368037501128128,0.1369679399786036,14.849066257476808,0.928567327917539,4
bank,44,100,4,0.1,0.5,512,60,0.001,,dp,OFAT:lambda_fair=0.5,0.917770086397818,0.7197341322898865,0.0806227929639795,0.0088490545749664,0.4976604573143815,0.0106382978723404,0.508298755186722,0.4976604573143815,0.4976604573143815,0.0304223918575063,0.8358646705402818,3.694981324184176,False,0.0018779342723004,36168,0.214750509485384,0.1342832130148963,14.72501277923584,0.928567327917539,5
bank,42,100,4,0.1,1.0,512,60,0.001,,dp,OFAT:lambda_fair=1.0,0.91583095904064,0.7141186594963074,0.0663766730005754,0.0066516101360321,0.4201244813278008,0.0,0.4201244813278008,0.4201244813278008,0.4201244813278008,0.0201170483460559,0.8978004441061057,2.2934151475575133,False,0.0023474178403755,36168,0.5006563398455909,0.1405237089993534,14.725233554840088,0.928567327917539,6
bank,43,100,4,0.1,1.0,512,60,0.001,,dp,OFAT:lambda_fair=1.0,0.9143963220262944,0.7133700251579285,0.0781627110785446,0.0051704421639442,0.4616182572614108,0.0,0.4616182572614108,0.4616182572614108,0.4616182572614108,0.0282595419847328,0.9316535026860698,2.849908649974568,False,0.0032863849765258,36168,0.214839829959601,0.1199745210005858,14.994392395019531,0.928567327917539,7
bank,44,100,4,0.1,1.0,512,60,0.001,,dp,OFAT:lambda_fair=1.0,0.9171423735193468,0.7179358601570129,0.0709097645690251,0.0164495930075645,0.441908713692946,0.0,0.441908713692946,0.441908713692946,0.441908713692946,0.0225343511450381,0.9173962753910024,2.864473452512038,False,0.0018779342723004,36168,0.2023355902747425,0.1213192700261061,14.615396738052368,0.928567327917539,8
bank,42,100,4,0.1,2.5,512,60,0.001,,dp,OFAT:lambda_fair=2.5,0.9053005813120774,0.7115203738212585,0.0615367180417044,0.0028357654809951,0.3547717842323651,0.0,0.3547717842323651,0.3547717842323651,0.3547717842323651,0.0255725190839694,1.1783886271188737,3.18829011589361,False,0.0023474178403755,36168,0.2350653299890836,0.1303250200135153,14.571447134017944,0.928567327917539,9
