lambda_fair,minority_fraction,n_rep,AUC_mean,AUC_ci95,SHAP_R2_mean,SHAP_R2_ci95,DP_gap_mean,DP_gap_ci95,mean_score_gap_mean,mean_score_gap_ci95,EO_gap_mean,EO_gap_ci95,EOdds_gap_mean,EOdds_gap_ci95,grad_norm_mean_mean,grad_norm_mean_ci95,grad_norm_max_mean,grad_norm_max_ci95,p99_latency_ms_mean,p99_latency_ms_ci95,masked_batch_frac_mean,masked_batch_frac_ci95,train_seconds_mean,train_seconds_ci95
0.0,0.01,5,0.8000476190476189,0.014020185199785536,0.46631696820259094,0.02661893678251926,0.09209621993127146,0.01941316173555095,0.09697578847408292,0.02598182175027981,0.4508474576271186,0.04844957950825474,0.4508474576271186,0.04844957950825474,2.0836599948677437,0.11650189717921206,43.13724871471571,3.7337656811236797,0.165621660022225,0.030335026730927375,0.9362222222222222,0.004121598582443065,3.116325569152832,0.040603048021936636
0.0,0.03,5,0.8020595238095238,0.02181158271846481,0.48823258876800535,0.01086413639777584,0.10962199312714774,0.02662106406970848,0.11173278689384455,0.02565978014031863,0.41694915254237286,0.03191655403980409,0.41694915254237286,0.03191655403980409,2.0321501170386838,0.03239408806734108,34.678995563244406,10.036892480586834,0.21170626596631323,0.12298197895874163,0.3006666666666667,0.0028608547421434126,3.2140517711639403,0.06574573627112111
0.0,0.05,5,0.806297619047619,0.01393332415641189,0.4931184470653534,0.012254620262529851,0.09415807560137454,0.036933841053092546,0.10067584216594691,0.02891546827202885,0.43389830508474575,0.07529342658163524,0.43389830508474575,0.07529342658163524,1.8100561040643413,0.05431956897998812,22.295600252746627,4.802365537486538,0.19786442999611567,0.06359548407301194,0.23877777777777776,0.0037275459832518593,3.321465587615967,0.08409286052201304
0.0,0.1,5,0.7981190476190475,0.01168253501854582,0.5121177792549133,0.007008774734487069,0.10962199312714774,0.03580754347331936,0.11416117250919337,0.02657542886375012,0.42372881355932207,0.0332753078216536,0.42372881355932207,0.0332753078216536,1.5826255335379438,0.0633011262466291,12.37318530164774,3.366662346196946,0.18100976000641802,0.006828265006489373,0.01111111111111106,0.002534536022986064,3.373332643508911,0.0621958369135969
1.0,0.01,5,0.7901666666666667,0.021531217209896664,0.4510227143764496,0.026572558527835792,0.09003436426116836,0.0276772643869031,0.08573607504367824,0.033623211857243006,0.46440677966101684,0.018823356645408747,0.46440677966101684,0.018823356645408747,2.1286795124708227,0.10658645136029028,48.034589500020914,9.671064069665105,0.153341714135422,0.022748174815105174,0.9362222222222222,0.004121598582443065,3.0800458908081056,0.02815582398518288
1.0,0.03,5,0.7788571428571428,0.006817519880794335,0.47992687225341796,0.014414364788643434,0.093127147766323,0.026621064069708454,0.08719680309295648,0.0777506346655913,0.43728813559322033,0.045624803429456025,0.43728813559322033,0.045624803429456025,2.066986839932386,0.06512620217851098,29.49124329471896,4.265704969257248,0.21713821801495162,0.12898919274034107,0.3006666666666667,0.0028608547421434126,3.2414573192596436,0.10357454081567004
1.0,0.05,5,0.794357142857143,0.004744964815440029,0.4959068477153778,0.0026067179449322333,0.1199312714776632,0.03219308673565357,0.06504287123680111,0.04739425939515338,0.4067796610169491,0.053654821662429124,0.4067796610169491,0.053654821662429124,1.9550658483499397,0.05307078435274599,20.751466092330887,1.0603745130990176,0.20442465410542326,0.10548356834601057,0.23877777777777776,0.0037275459832518593,3.2212838649749758,0.01602045707058635
1.0,0.1,5,0.7892500000000001,0.013688717410763046,0.5061716854572296,0.015339070262939328,0.0951890034364261,0.018878260969572836,0.03333569467067714,0.041937291999479445,0.4542372881355933,0.0230538095138392,0.4542372881355933,0.0230538095138392,1.7041421168639779,0.024159846035422625,12.381335784912542,1.672978511351544,0.2005955039521722,0.050627853210593904,0.01111111111111106,0.002534536022986064,3.358320188522339,0.029816593042919348
2.5,0.01,5,0.8025595238095239,0.01782169994621846,0.44313678741455076,0.02682187503143251,0.12955326460481095,0.07727071264892563,0.07227150499820706,0.08296710380735527,0.447457627118644,0.03521527571808713,0.447457627118644,0.03521527571808713,2.0832567536993936,0.11975216305858156,46.84347557906429,4.642942770905208,0.15615116588742223,0.028524481899527755,0.9362222222222222,0.004121598582443065,3.0699703216552736,0.049184438557610455
2.5,0.03,5,0.7850357142857144,0.012748382325316283,0.47410287857055666,0.014863695260483239,0.10446735395188997,0.04628637861918838,0.11106569170951841,0.06333359537949594,0.42372881355932207,0.06819408819412691,0.42372881355932207,0.06819408819412691,2.2336178878025867,0.11780456414560185,24.179621302631,7.250812364588004,0.16226563206873804,0.029056637793622293,0.3006666666666667,0.0028608547421434126,3.2184399604797362,0.08008794582571561
