lambda_fair,n_rep,AUC_mean,AUC_ci95,SHAP_R2_mean,SHAP_R2_ci95,DP_gap_mean,DP_gap_ci95,mean_score_gap_mean,mean_score_gap_ci95,EO_gap_mean,EO_gap_ci95,EOdds_gap_mean,EOdds_gap_ci95,grad_norm_mean_mean,grad_norm_mean_ci95,grad_norm_max_mean,grad_norm_max_ci95,p99_latency_ms_mean,p99_latency_ms_ci95,masked_batch_frac_mean,masked_batch_frac_ci95,train_seconds_mean,train_seconds_ci95
0.0,5,0.7996785714285715,0.016226474925680162,0.4870026230812073,0.008394567024574966,0.11374570446735391,0.012476539830768376,0.11378780305385586,0.014733011784085509,0.4,0.048449579508254716,0.4,0.048449579508254716,1.905322990621969,0.012962137649425947,30.520460114782374,2.9595214353728867,0.17700510411214035,0.04411689540548231,0.2564444444444444,0.0037971075483941427,3.2400971412658692,0.025970715064746703
0.5,5,0.7878333333333332,0.016390181807959,0.49791300892829893,0.019606727375657915,0.10652920962199308,0.023947841601909246,0.0446565598249435,0.030769306378758392,0.43389830508474575,0.03191655403980408,0.43389830508474575,0.03191655403980408,1.9446828121324458,0.07382184588863712,27.520083004814637,3.5935510947279847,0.17749128412287937,0.0788956454470419,0.2564444444444444,0.0037971075483941427,3.2448079586029053,0.043254214049486914
1.0,5,0.7876309523809523,0.020332474987649975,0.49442306756973264,0.003804453929643572,0.10343642611683845,0.03282314817685893,0.084629014134407,0.03242816871821627,0.43050847457627117,0.06754149817540539,0.43050847457627117,0.06754149817540539,2.0296831974004705,0.06389909716511884,24.24832721210194,1.349142995227252,0.20056873400426395,0.08178161977645666,0.2564444444444444,0.0037971075483941427,3.28883056640625,0.07285051150171727
2.5,5,0.7916428571428571,0.007047638618073756,0.4801773905754089,0.01843916063889104,0.156701030927835,0.1306409607998677,0.0966136753559112,0.07723064955604794,0.5050847457627119,0.09340824027745785,0.5050847457627119,0.09340824027745785,2.2886744187833097,0.060558807411040645,21.90893179562229,4.134487239395664,0.1864180640432095,0.04441593343559159,0.2564444444444444,0.0037971075483941427,3.5074962615966796,0.31426127321797886
5.0,5,0.7859761904761905,0.011693985027712869,0.4626359581947327,0.014848979314895495,0.18797250859106523,0.09194373325653239,0.07209373712539668,0.03926547008808445,0.47457627118644063,0.06135663595836817,0.47457627118644063,0.06135663595836817,2.3796178348091304,0.06722413113855934,9.358526204605727,2.3667868423745966,0.16891900002610744,0.05881437781646906,0.2564444444444444,0.0037971075483941427,3.2887787342071535,0.0827382096073983
