batch_size,n_rep,AUC_mean,AUC_ci95,SHAP_R2_mean,SHAP_R2_ci95,DP_gap_mean,DP_gap_ci95,mean_score_gap_mean,mean_score_gap_ci95,EO_gap_mean,EO_gap_ci95,EOdds_gap_mean,EOdds_gap_ci95,grad_norm_mean_mean,grad_norm_mean_ci95,grad_norm_max_mean,grad_norm_max_ci95,p99_latency_ms_mean,p99_latency_ms_ci95,masked_batch_frac_mean,masked_batch_frac_ci95,train_seconds_mean,train_seconds_ci95
64,3,0.7761544739610303,0.002326633044291516,0.7971230149269104,0.02251253938847561,0.0034236518267447003,0.0015756170033411284,0.009018232425053866,0.003270304747538699,0.011547653665806366,0.004698909347026394,0.011547653665806366,0.004698909347026394,2.8075280630863957,0.06981123435928563,98.59494834393918,83.58612034979814,0.17793152990331382,0.11300437411247038,0.0,0.0,29.062652508417766,1.1197343680822305
256,3,0.7767975349204462,0.0033013103243069056,0.7388408780097961,0.005941318221197759,0.024629702222673133,0.025601723160644446,0.007889886697133334,0.004543049400228472,0.048850914179782566,0.08627015409584719,0.048850914179782566,0.08627015409584719,0.8099429668695283,0.0343643222089961,8.2624771249192,9.642833126297523,0.12857905668776462,0.004137737839128319,0.0,0.0,13.835411310195923,0.1358458391424713
512,3,0.7684124511179871,0.0019523603354987438,0.6554257671038309,0.008891107836806772,0.026360860069136034,0.012884912110485949,0.006624648968378634,0.0115885835319129,0.05177777373898917,0.04517594332834326,0.05177777373898917,0.04517594332834326,0.5597241692994364,0.01328441384191683,0.7902545931943025,0.28849835213359803,0.23788986350761346,0.15922404369774731,0.0,0.0,12.213379542032877,0.0765287405788208
1024,3,0.7678802581038017,0.006900988915708598,0.5951504508654276,0.04125619095305957,0.029211780097808327,0.007293014178473898,0.006315171718597366,0.014503202923115806,0.06370330655616536,0.019793984308447952,0.06370330655616536,0.019793984308447952,0.5510972469584358,0.01406999192074517,0.6692650331745998,0.07027732883955037,0.20053497315529958,0.061996340669317807,0.0,0.0,10.336318016052246,0.4071154439814127
