lam,n_servers,sla_ms,seed,mean_wait_ms,p99_sojourn_ms,mean_sojourn_ms,throughput_rps,utilization,sla_violation_rate,offered_load,route
20,1,50.0,0,0.0002795408868799932,0.24883300000055897,0.15073737594235975,18.010464631406197,0.002709815516784666,0.0,0.003009156701109595,student
20,1,50.0,1,0.00027210229875388825,0.24883300000055897,0.15099178596530294,18.17286577052036,0.0027390085802474857,0.0,0.003014393673330981,student
20,1,50.0,2,0.0002565179440168208,0.24883300000055897,0.15106466488829856,18.11868920661436,0.00273244594430887,0.0,0.003016162938885635,student
20,1,50.0,3,0.00025418787250449293,0.24883300000055897,0.15097186798350667,17.984913695942172,0.002710644469248994,0.0,0.003014353602220044,student
20,1,50.0,4,0.0002593590659121977,0.24883300000055897,0.15100707217694442,18.043950140947477,0.0027200842192373195,0.0,0.003014954262220644,student
29,1,50.0,0,0.0004157188678443428,0.24883300000055897,0.1508735539233241,26.115171947330246,0.0039292322332969065,0.0,0.004363277216608913,student
29,1,50.0,1,0.0003863739865816266,0.24883300000055897,0.1511060576531307,26.35065365530522,0.003971562183334397,0.0,0.004370870826329923,student
29,1,50.0,2,0.0003492378167801272,0.24883300000055897,0.15115738476106189,26.27209765129682,0.00396204636313129,0.0,0.004373436261384171,student
29,1,50.0,3,0.00035063150390691864,0.24883300000055897,0.1510683116149091,26.07812311350947,0.003930434217317253,0.0,0.004370812723219064,student
29,1,50.0,4,0.0003698432103536536,0.2528093624441395,0.15111755632138588,26.163726067283207,0.003944121871106444,0.0,0.004371683680219934,student
43,1,50.0,0,0.0005921632573999444,0.25103329166924315,0.1510499983128797,38.72249225730128,0.005826102352986129,0.0,0.00646968690738563,student
43,1,50.0,1,0.0005346605411883982,0.25301091511593243,0.15125434420773745,39.07165491957847,0.005888867469807432,0.0,0.006480946397661609,student
43,1,50.0,2,0.0004945110759343328,0.2633750000029522,0.15130265802021609,38.9551753589234,0.005874757809768783,0.0,0.006484750318604115,student
43,1,50.0,3,0.0004924430866057131,0.25077678467169856,0.1512101231976079,38.66755783169696,0.00582788461195138,0.0,0.006480860244773094,student
43,1,50.0,4,0.0005370149140983611,0.2633750000029522,0.15128472802513057,38.79448659965582,0.005848180136214699,0.0,0.006482151663774385,student
64,1,50.0,0,0.0008442011739850684,0.2633750000029522,0.15130203622946484,57.63346774282303,0.00867140678332498,0.0,0.009629301443550705,student
64,1,50.0,1,0.0007573941063066216,0.2633750000029522,0.15147707777285568,58.153151994984796,0.008764824672896854,0.0,0.00964605975465914,student
64,1,50.0,2,0.0007395583726916596,0.2633750000029522,0.15154770531697337,57.97978713781377,0.008743824258477596,0.0,0.009651721404434032,student
64,1,50.0,3,0.0007042918456993242,0.2633750000029522,0.1514219719567015,57.55170499319162,0.008674059463006622,0.0,0.00964593152710414,student
64,1,50.0,4,0.0007594805580516271,0.2633750000029522,0.15150719366908383,57.740622788019856,0.008704266838900746,0.0,0.009647853639106061,student
94,1,50.0,0,0.0012298318972400561,0.2633750000029522,0.15168766695271982,84.64913664250611,0.012736125838546952,0.0,0.014143036495215098,student
94,1,50.0,1,0.0010786613964632135,0.2633750000029522,0.15179834506301224,85.41242349572647,0.012873333450469215,0.0,0.01416765026465561,student
94,1,50.0,2,0.0011002452883111464,0.2633750000029522,0.1519083922325929,85.15779400929434,0.012842489112404536,0.0,0.014175965812762484,student
94,1,50.0,3,0.0010361213977394042,0.2633750000029522,0.1517538015087416,84.52904784818418,0.012740021993670221,0.0,0.014167461930434205,student
94,1,50.0,4,0.0011217473862000166,0.2633750000029522,0.1518694604972322,84.80652203181113,0.012784389253195897,0.0,0.014170285032437027,student
138,1,50.0,0,0.001776762755676447,0.2633750000029522,0.15223459781115622,124.27209563684627,0.018697710467327423,0.0,0.020763181237656206,student
138,1,50.0,1,0.0015675439190547319,0.2633750000029522,0.15228722758560378,125.39266700678971,0.018899143105368266,0.0,0.020799316345983768,student
138,1,50.0,2,0.0016354401910811944,0.2633750000029522,0.15244358713536293,125.01884956778797,0.01885386103642402,0.0,0.02081152427831088,student
138,1,50.0,3,0.0015439306012486518,0.2633750000029522,0.15226161071225083,124.09579559226557,0.0187034304231954,0.0,0.0207990398553183,student
138,1,50.0,4,0.0016800341216308072,0.2633750000029522,0.15242774723266303,124.50315383321082,0.018768565715467575,0.0,0.020803184409322443,student
202,1,50.0,0,0.0025304303973404294,0.2722920000053364,0.15298826545282018,181.90544371080472,0.027369099245534115,0.0,0.030392482681206912,student
202,1,50.0,1,0.0023424627565930617,0.27119451823303103,0.15306214642314211,183.54570314041806,0.027663950315678126,0.0,0.030445376100642907,student
202,1,50.0,2,0.002397806160005425,0.2722920000053364,0.15320595310428717,182.9985217683918,0.027597667961433973,0.0,0.030463245682744913,student
202,1,50.0,3,0.002294927264414406,0.27079668925708184,0.1530126073754166,181.64738244620997,0.02737747208052875,0.0,0.030444971382422442,student
202,1,50.0,4,0.002504244649470917,0.2722920000053364,0.15325195776050313,182.24366582614144,0.027472815852261995,0.0,0.030451038048428504,student
297,1,50.0,0,0.0036774109986303927,0.27302327608715804,0.15413524605411016,267.45484242601634,0.0402406765665229,0.0,0.04468597701147749,student
297,1,50.0,1,0.0035682312066526046,0.27229253107044815,0.15428791487320168,269.8665170750963,0.04067419608575187,0.0,0.04476374604896507,student
297,1,50.0,2,0.003559438034015273,0.2722920000053364,0.154367584978297,269.06199940524425,0.04057674154342832,0.0,0.044790019642451676,student
